word,letters,count,letter_1,letter_2,letter_3,letter_4,letter_5,letter_6,letter_7
四苦八苦,"['四', '苦', '八', '苦']",4,四,苦,八,苦,,,
子子孫孫,"['子', '子', '孫', '孫']",4,子,子,孫,孫,,,
四十九日,"['四', '十', '九', '日']",4,四,十,九,日,,,
四十八手,"['四', '十', '八', '手']",4,四,十,八,手,,,
紙上談兵,"['紙', '上', '談', '兵']",4,紙,上,談,兵,,,
四書五経,"['四', '書', '五', '経']",4,四,書,五,経,,,
七里結界,"['七', '里', '結', '界']",4,七,里,結,界,,,
四通八達,"['四', '通', '八', '達']",4,四,通,八,達,,,
十死一生,"['十', '死', '一', '生']",4,十,死,一,生,,,
十中八九,"['十', '中', '八', '九']",4,十,中,八,九,,,
十風五雨,"['十', '風', '五', '雨']",4,十,風,五,雨,,,
四百四病,"['四', '百', '四', '病']",4,四,百,四,病,,,
四方八方,"['四', '方', '八', '方']",4,四,方,八,方,,,
七五三縄,"['七', '五', '三', '縄']",4,七,五,三,縄,,,
自問自答,"['自', '問', '自', '答']",4,自,問,自,答,,,
四門出遊,"['四', '門', '出', '遊']",4,四,門,出,遊,,,
